,Predicted Price,Price
307,321429.98781726265,404000
308,202411.19786012627,171500
309,179658.56349875746,170000
310,149943.25027550416,132000
311,261474.89861890307,255000
312,73836.2766485501,87550
313,227681.4004039094,199000
314,115923.50742761431,129000
315,313640.4264809329,370000
316,172545.86886428294,143000
317,194195.6565191799,155000
318,231302.7837174022,226000
319,152071.39857689175,143900
320,92025.70813587955,113000
321,82766.93301997888,93000
322,164982.0693888983,140000
323,249052.4838435435,267300
324,75767.45028501857,81500
325,206081.36251052393,176000
326,340934.07613695064,421250
327,183057.60262653112,170000
328,177374.50428504302,161500
329,174524.19653997367,151000
330,155960.00047819418,135000
331,211642.9595329903,190000
332,167852.97870946347,145000
333,236886.28674739547,222500
334,214176.7142963517,193000
335,154690.20075365473,143000
336,283795.22585420625,271000
337,50299.00920628276,78000
338,210635.02456466554,189000
339,167851.11819872318,143000
340,190657.83479816347,234000
341,186552.71024486367,200000
342,220094.33832622413,213000
343,283468.50224255095,322500
344,164824.1337593805,216000
345,371308.5907229176,535000
346,143900.78113606246,136500
347,152937.6599123932,129500
348,299573.8961655332,318000
349,229389.86593966605,245000
350,314967.9005332588,150000
351,138082.6513192729,135000
352,179625.16520056973,173500
353,146206.7392749317,125000
354,118858.94141569393,109900
355,149929.30695313125,150000
356,226081.42923658027,215000
357,145324.35988681763,133000
358,159589.63953721416,159900
359,209299.27424768626,225000
360,101465.275942277,112500
361,200051.44868112708,139000
362,183278.17350437856,187500
363,174152.92058812865,137500
364,232081.98245624424,285000
365,223515.82739243942,218836
366,167242.19449234958,153337
367,238264.4809764649,219210
368,130445.23040008993,133000
369,86233.54242140258,90000
370,117326.1406163775,105000
371,182083.44582593764,182000
372,218428.12232716286,224900
373,91614.01698076462,110000
374,130517.65565592813,109000
375,182369.39095389654,179400
376,156712.5190937647,147000
377,135332.35985299197,119164
378,214217.18547225653,202500
379,259776.357596741,277500
380,273033.92475110356,271900
381,80680.98090325488,79000
382,61633.34262406165,82375
383,164010.9466174161,169000
384,103374.08427799691,118500
385,193747.96521904596,169985
386,112240.56667439883,134000
387,135840.94512540093,142000
388,268556.82489885134,282922
389,206196.50362614094,184000
390,206436.35806826953,191500
391,143446.19408366558,150000
392,130865.84427867779,141000
393,131947.0054180504,152500
394,267470.32111696486,319900
395,223682.66959886975,212000
396,146935.88447404045,143000
397,136548.39873033954,126000
398,98659.46116417581,118000
399,253097.96088026534,270000
400,204058.4531657918,211000
401,151190.0141003122,143000
402,155453.97131640895,147983
403,200168.91044730195,188500
404,229445.0662733919,239000
405,90911.8826372924,108000
406,84463.87038414342,79000
407,170004.9873955704,125000
408,151763.64085558915,147500
409,254546.80151911644,260000
410,177170.75664948672,167000
411,365068.82034556154,415000
412,267209.3938161585,227000
413,194014.84602820448,152500
414,130535.08307878667,123000
415,153398.33344925693,139000
416,168298.63415625034,155000
417,87216.26621065904,82500
418,113637.37562557518,132000
419,195007.12993872075,184500
420,206386.67893920877,174000
421,225722.39359059784,170000
422,182753.40725645315,149500
423,96371.46220290824,102000
424,282487.1072918442,325000
425,231726.69350592358,198000
426,132594.55208800902,107000
427,199006.64850664494,191000
428,260591.3223906146,392000
429,247591.4479134773,250000
430,208914.37254894493,200141
431,206747.15217686215,172000
432,197174.1040264757,178000
433,120888.32140008447,133000
434,99781.85475813651,116000
435,137449.94877709443,134900
436,228298.6031287755,235128
437,161276.91679217463,150000
438,151464.30676797364,149000
439,115430.00136875242,133700
440,68636.56552953603,79400
441,143754.40471690273,157900
442,185106.24547774455,167000
443,169330.85651576848,190000
444,194059.63639586212,143000
445,90608.2088564873,95000
446,136347.46177277132,149000
447,273877.69432223984,344133
448,83219.87240178269,115000
449,350269.92104803305,412500
450,164934.16661366986,141000
451,193524.24615410576,183000
452,92092.00433991304,113000
453,129947.7963837933,135000
454,171206.1713126852,162000
455,242643.7742387368,205000
456,75848.27386394991,85000
457,225252.7777077698,218000
458,171522.053374016,150000
459,384486.0621071283,466500
460,142678.2404132663,145000
461,187847.62917516078,178900
462,139019.30232678997,139500
463,196519.53377459984,193000
464,165282.85753220125,165000
465,132039.00543602044,128000
466,418417.08709934226,538000
467,146425.7969771184,165500
468,164171.1571509311,147000
469,192631.7791535204,135000
470,186641.80290210934,174000
471,106598.43420498108,115400
472,309280.79628215206,345000
473,177401.4314387005,152000
474,211837.09287686902,194000
475,305108.4559601338,325000
476,202955.5192534234,191000
477,229503.39212142362,254900
478,424276.8311363198,500000
479,234169.12681852363,315000
480,97125.24120106424,105000
481,185216.04418798763,177500
482,147382.16323689464,131000
483,157638.9732788297,167000
484,274271.76303114044,275000
485,150329.83458539477,138500
486,281198.3591939884,302000
487,134788.71030212508,128000
488,278372.5127591387,281500
489,217461.6827193919,206900
490,104349.09452881332,135000
491,106052.52982647867,73000
492,203916.04244140763,194700
493,201543.1474486504,169000
494,108922.49513592348,123000
495,376231.7128378691,485000
496,121925.65886816001,107500
497,125537.16553227408,137000
498,168942.78456707572,146500
499,300825.9034452511,350000
500,301027.37831346184,302000
501,71114.5768738241,85000
502,257830.79183178744,250000
503,134947.16083083072,145500
504,46754.3138193413,64500
505,188596.38746874902,173000
506,130300.55557485617,129200
507,119453.57346347734,130000
508,133919.48245187663,145000
509,170671.76444781135,142500
510,154461.52490489252,143500
511,212137.33341391987,188000
512,83587.20446674702,34900
