,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
28,2243,911103060,190,2,75.0,8250,2,2,3,1,2,3,2,28,8,5,5,2,5,6,1895,2006,2,1,1,2,3,0.0,TA,Gd,1,TA,TA,5,Unf,0.0,Unf,0.0,957.0,957.0,5,Fa,2,3,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,3,0,N/A,1,0.0,N/A,0.0,0.0,N/A,N/A,2,0,0,133,0,0,0,N/A,2,1,0,6,2007,3,119600
29,1957,535450190,50,4,60.0,8064,2,2,3,1,2,2,2,8,1,5,3,5,5,7,1949,2006,2,1,9,8,3,0.0,TA,Gd,1,TA,TA,3,Unf,0.0,Unf,0.0,672.0,672.0,5,Ex,1,3,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,3,1,Po,5,2003.0,Unf,2.0,576.0,TA,TA,1,0,0,0,0,0,0,N/A,5,3,2000,7,2007,3,122900
30,380,527355150,20,4,80.0,9600,2,2,3,1,2,3,2,7,9,5,3,1,8,5,1981,1981,1,6,15,15,3,0.0,Gd,TA,6,Gd,TA,5,ALQ,1104.0,Unf,0.0,1420.0,2524.0,5,TA,1,3,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,3,1,Gd,6,1981.0,Fin,2.0,542.0,TA,TA,1,474,120,0,0,0,0,N/A,5,1,0,7,2009,3,278000
31,2860,909276010,70,4,0.0,11435,2,2,2,3,2,2,1,4,5,5,3,2,8,7,1929,1950,2,1,15,11,3,0.0,TA,TA,6,Gd,TA,5,Unf,0.0,Unf,0.0,792.0,792.0,5,Fa,1,3,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,3,2,Gd,5,1931.0,Unf,2.0,400.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,6,2006,3,230000
32,2517,533250130,120,4,30.0,9549,2,2,2,1,2,1,2,18,5,5,2,1,8,5,1995,1996,1,1,15,15,3,0.0,Gd,Gd,6,Gd,Gd,4,LwQ,437.0,GLQ,1057.0,0.0,1494.0,5,Ex,1,3,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,3,1,Gd,6,1995.0,Fin,2.0,481.0,TA,TA,1,0,30,0,0,216,0,N/A,2,1,0,4,2006,3,270000
33,1933,535302070,20,4,60.0,10950,2,2,3,1,2,3,2,8,5,5,3,1,6,6,1952,1952,1,1,6,6,3,0.0,TA,TA,1,TA,TA,5,ALQ,441.0,Unf,0.0,507.0,948.0,5,TA,1,3,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,3,0,N/A,5,1952.0,Unf,2.0,410.0,TA,TA,2,0,48,0,0,0,0,N/A,2,1,0,4,2007,3,125000
34,820,906340110,20,4,79.0,10637,2,2,3,1,2,3,2,17,5,5,3,1,8,5,2007,2008,1,1,1,2,4,336.0,Gd,TA,6,Ex,TA,1,GLQ,1288.0,Unf,0.0,417.0,1705.0,5,Ex,1,3,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,3,1,Gd,6,2007.0,RFn,3.0,826.0,TA,TA,1,208,44,0,0,0,0,N/A,2,1,0,9,2009,3,297000
35,675,535426150,20,4,80.0,9000,2,2,2,3,2,3,1,8,5,5,3,1,6,6,1958,1958,5,3,6,6,5,82.0,TA,TA,1,Gd,TA,1,Unf,0.0,Unf,0.0,160.0,160.0,5,Fa,1,3,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,3,1,Gd,7,1958.0,RFn,1.0,384.0,TA,TA,1,0,28,64,0,0,0,N/A,2,1,0,4,2009,3,113500
36,2910,923225240,160,6,41.0,2665,2,2,3,1,2,3,2,5,5,5,2,2,5,6,1977,1977,2,1,12,14,3,0.0,TA,TA,6,TA,TA,5,ALQ,548.0,Rec,173.0,36.0,757.0,5,Ex,1,3,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,3,1,TA,6,1977.0,RFn,1.0,336.0,TA,TA,1,104,26,0,0,0,0,N/A,2,1,0,7,2006,3,127000
37,21,527358140,20,4,105.0,11751,2,2,2,1,2,3,2,7,5,5,3,1,6,6,1977,1977,1,1,2,1,5,480.0,TA,TA,1,Gd,TA,5,BLQ,705.0,Unf,0.0,1139.0,1844.0,5,Ex,1,3,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,3,1,TA,6,1977.0,RFn,2.0,546.0,TA,TA,1,0,122,0,0,0,0,N/A,5,1,0,1,2010,9,190000
38,1873,534177210,20,4,80.0,9600,2,2,3,1,2,3,2,7,5,5,3,1,7,6,1973,1973,1,1,11,10,5,320.0,TA,TA,1,TA,TA,5,ALQ,916.0,Unf,0.0,326.0,1242.0,5,Fa,1,3,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,3,1,TA,6,1973.0,Unf,2.0,528.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,9,2007,3,175500
39,2125,907135050,20,4,60.0,8428,2,2,4,1,2,3,2,17,5,5,3,1,5,7,1994,1994,2,1,1,2,3,0.0,TA,Gd,6,Gd,Gd,5,GLQ,420.0,Unf,0.0,570.0,990.0,5,Ex,1,3,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,3,0,N/A,5,1995.0,Unf,1.0,384.0,TA,TA,1,256,0,0,0,0,0,N/A,2,1,0,7,2007,3,146000
40,1489,908102260,20,4,75.0,9937,2,2,3,1,2,3,2,6,5,5,3,1,5,6,1965,1965,2,1,11,10,3,0.0,Gd,TA,1,TA,TA,5,BLQ,830.0,LwQ,290.0,136.0,1256.0,5,Gd,1,3,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,3,0,N/A,6,1965.0,Fin,1.0,276.0,TA,TA,1,736,68,0,0,0,0,N/A,2,1,0,6,2008,3,147500
41,2383,528110050,20,4,107.0,13891,2,2,3,1,2,3,2,23,5,5,3,1,10,5,2006,2006,2,1,1,2,1,0.0,Ex,TA,6,Ex,Gd,1,GLQ,1386.0,Unf,0.0,690.0,2076.0,5,Ex,1,3,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,7,3,1,Gd,6,2006.0,Fin,3.0,850.0,TA,TA,1,216,229,0,0,0,0,N/A,2,1,0,9,2006,1,465000
42,983,923275040,85,4,0.0,9101,2,2,2,1,2,2,2,26,5,5,3,7,5,6,1978,1978,2,1,2,1,5,104.0,TA,Gd,6,Gd,TA,4,GLQ,1097.0,Unf,0.0,0.0,1097.0,5,Ex,1,3,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,3,1,TA,6,1978.0,Fin,2.0,602.0,TA,TA,1,303,30,0,0,0,0,N/A,2,1,0,7,2009,3,165500
43,1325,902406090,50,6,81.0,12150,2,1,3,1,2,3,2,19,5,5,3,5,5,5,1954,1954,2,1,9,8,5,335.0,TA,TA,2,TA,TA,5,Unf,0.0,Unf,0.0,1050.0,1050.0,5,Ex,2,2,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,7,3,0,N/A,6,1954.0,Unf,1.0,352.0,Fa,TA,1,0,0,0,0,0,0,N/A,2,1,0,11,2008,3,131500
44,1378,905102170,20,4,70.0,11200,2,2,3,1,2,3,2,12,5,5,3,1,5,5,1965,1965,1,1,11,10,3,0.0,TA,TA,1,TA,TA,5,Rec,906.0,Unf,0.0,134.0,1040.0,5,Ex,1,3,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,3,0,N/A,5,1965.0,Unf,1.0,384.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,2,2008,3,129500
45,1537,909281110,70,4,100.0,9670,2,2,2,3,2,3,1,4,5,5,3,2,8,6,1935,1950,2,1,15,11,4,40.0,TA,TA,6,TA,Fa,5,LwQ,210.0,Unf,0.0,398.0,608.0,5,TA,1,3,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,3,2,Gd,5,1935.0,Fin,2.0,786.0,Fa,TA,1,0,0,207,0,0,0,N/A,2,1,0,6,2008,3,257076
46,905,909101140,50,4,60.0,10998,2,1,3,1,2,3,2,6,5,5,3,5,5,5,1941,1960,2,1,6,6,3,0.0,TA,TA,1,TA,TA,5,LwQ,408.0,BLQ,420.0,156.0,984.0,5,Ex,1,3,984,620,0,1604,0.0,0.0,2,0,3,1,TA,6,5,0,N/A,5,1977.0,Unf,2.0,660.0,TA,TA,1,0,68,0,0,0,0,N/A,2,1,0,7,2009,3,117000
47,1532,909275050,70,4,60.0,7200,2,2,3,3,2,3,1,4,5,5,3,2,7,6,1931,2000,2,1,13,12,3,0.0,TA,Fa,2,Gd,TA,5,Unf,0.0,Unf,0.0,776.0,776.0,5,TA,1,3,851,651,0,1502,0.0,0.0,1,1,3,1,TA,6,3,1,Gd,6,1931.0,RFn,1.0,270.0,TA,TA,3,0,0,112,0,0,0,N/A,5,1,0,2,2008,3,149000
48,132,534475100,20,4,80.0,9920,2,2,3,1,2,3,2,8,5,5,3,1,5,5,1954,1954,2,1,11,10,4,110.0,TA,TA,1,TA,TA,5,Rec,354.0,LwQ,290.0,412.0,1056.0,5,TA,1,3,1063,0,0,1063,1.0,0.0,1,0,3,1,TA,6,3,0,N/A,6,1954.0,RFn,1.0,280.0,TA,TA,1,0,0,164,0,0,0,N/A,5,1,0,2,2010,3,128000
49,1078,528188090,160,4,36.0,2448,2,2,3,1,2,3,2,23,5,5,1,2,7,5,2003,2004,2,1,1,12,4,106.0,Gd,TA,6,Gd,TA,5,Unf,0.0,Unf,0.0,764.0,764.0,5,Ex,1,3,764,862,0,1626,0.0,0.0,2,1,2,1,Gd,6,3,0,N/A,4,2003.0,RFn,2.0,474.0,TA,TA,1,0,27,0,0,0,0,N/A,2,1,0,10,2008,3,155000
50,2511,533221080,160,5,0.0,2998,2,2,3,1,2,3,2,15,5,5,2,2,6,5,2000,2000,2,1,9,8,5,513.0,Gd,TA,6,Gd,TA,5,GLQ,353.0,Unf,0.0,403.0,756.0,5,Ex,1,3,768,756,0,1524,0.0,0.0,2,1,2,1,Gd,4,3,0,N/A,5,2000.0,Unf,2.0,440.0,TA,TA,1,0,32,0,0,0,0,N/A,2,1,0,6,2006,3,166000
51,912,909250220,50,4,65.0,7804,2,2,3,1,2,3,2,1,5,5,3,5,4,3,1928,1950,2,1,7,1,3,0.0,TA,TA,2,TA,TA,5,BLQ,622.0,Unf,0.0,500.0,1122.0,5,TA,1,3,1328,653,0,1981,1.0,0.0,2,0,4,1,Gd,7,5,2,TA,5,1981.0,Unf,2.0,576.0,TA,TA,1,431,44,0,0,0,0,N/A,5,1,0,12,2009,3,135000
52,2351,527356020,60,4,80.0,16692,2,2,2,1,2,3,2,7,3,5,3,2,7,5,1978,1978,2,1,2,1,5,184.0,TA,TA,1,Gd,TA,5,BLQ,790.0,LwQ,469.0,133.0,1392.0,5,TA,1,3,1392,1392,0,2784,1.0,0.0,3,1,5,1,Gd,12,3,2,TA,6,1978.0,RFn,2.0,564.0,TA,TA,1,0,112,0,0,440,519,Fa,5,4,2000,7,2006,3,250000
53,330,923226250,160,6,21.0,1476,2,2,3,1,2,3,2,5,5,5,1,2,4,7,1970,1970,2,1,12,14,3,0.0,TA,TA,1,TA,TA,5,GLQ,176.0,Unf,0.0,370.0,546.0,5,Ex,1,3,546,546,0,1092,0.0,0.0,1,1,3,1,TA,5,3,0,N/A,1,0.0,N/A,0.0,0.0,N/A,N/A,1,200,26,0,0,0,0,N/A,2,1,0,3,2010,3,76000
54,2586,535305120,20,4,75.0,10170,2,2,3,1,2,2,2,8,5,5,3,1,6,6,1951,1951,1,1,6,6,5,522.0,TA,TA,1,TA,TA,5,Unf,0.0,Unf,0.0,216.0,216.0,5,TA,1,3,1575,0,0,1575,0.0,0.0,1,1,2,1,Gd,5,3,1,Gd,6,1951.0,Unf,2.0,400.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,6,2006,3,155000
55,224,905106140,60,4,80.0,9364,2,2,3,1,2,2,2,12,5,5,3,2,6,7,1969,1969,2,1,11,10,4,143.0,TA,TA,1,TA,TA,5,ALQ,371.0,Unf,0.0,292.0,663.0,5,TA,1,3,663,689,0,1352,0.0,0.0,1,1,4,1,TA,7,3,0,N/A,6,1969.0,Fin,1.0,299.0,TA,TA,1,379,36,0,0,0,0,N/A,5,1,0,3,2010,3,158000
56,98,533212020,160,5,24.0,2544,2,3,3,1,2,3,2,15,5,5,1,2,7,5,2004,2005,2,1,9,8,3,0.0,Gd,TA,6,Gd,TA,5,GLQ,368.0,ALQ,42.0,190.0,600.0,5,Ex,1,3,600,600,0,1200,1.0,0.0,2,1,2,1,Gd,4,3,0,N/A,5,2004.0,RFn,2.0,480.0,TA,TA,1,0,172,0,0,0,0,N/A,2,1,0,2,2010,3,149500
57,2565,534479300,20,4,82.0,9888,2,2,3,1,2,3,2,8,5,5,3,1,5,6,1954,1975,2,1,9,8,3,0.0,TA,Gd,1,TA,TA,5,BLQ,486.0,Unf,0.0,450.0,936.0,5,TA,1,5,936,0,0,936,0.0,0.0,1,0,2,1,TA,5,3,0,N/A,6,1954.0,Unf,1.0,240.0,TA,TA,1,0,0,160,0,0,0,N/A,5,1,0,3,2006,3,121000
